,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID
45,47.89298064349467,116.63,126.36,139.09,34.39146589051565,148.02,152.41,163.97,27.351217629984784,143.19,148.87,157.37,1148,1,96.26603943150562,-26.06868932010337,4.567115602728632,Gedser
46,58.04219953595777,121.44,128.67,143.46,28.563652517357383,139.11,145.42,156.43,23.36375784592925,136.4,142.65,150.75,1149,1,115.1554610910036,-25.8996287727507,4.746283051030126,NOS 511192.01
47,50.67270091346349,116.45,127.42,143.71,28.36433974640846,139.98,147.25,157.22,22.38927926987128,137.09,143.49,148.78,1150,1,3.925672349255037,-26.510351718755857,1.3675376357376017,NOS 509011.08
48,69.26509738459688,127.48,134.85,157.69,40.59978313945161,145.3,151.88,166.42,35.65149950286761,144.12,151.32,164.29,1151,1,7.155558144456521,-26.161866130114003,1.967889417576953,NOS 511014.06
49,52.74710244084938,125.49,130.24,134.01,31.65535576704685,141.29,147.51,159.83,21.257343851107624,142.54,149.02,149.23,1152,1,26.47428903417316,-26.75014993202785,3.2761740368935803,512147.12
50,52.82698012109408,110.34,119.66,135.2,31.45321229368802,148.81,156.97,166.32,23.322552879445396,148.54,156.8,151.42,1153,1,88.71036747228976,-26.116659799188373,4.485376764923755,NOS 511031.19
51,49.71651738662807,113.96,123.76,140.91,17.163270149792993,138.28,139.71,142.46,18.92679462219879,141.74,141.95,141.34,1154,1,1.889430044072792,-26.4213719438418,0.6362752196093396,KWS Leif
52,47.96611543979314,118.29,125.78,140.8,24.529359364453384,139.79,146.88,151.9,17.705784711398746,146.38,153.48,136.24,1155,1,2.698268235189469,-26.090500828142957,0.9926101728546448,Ancher
53,44.3957864198494,116.9,122.89,133.49,19.76410802554181,142.0,147.86,145.69,11.805013528733037,140.74,148.42,124.15,1156,1,13.643804673488468,-26.047675872909547,2.6132855485266657,Ambition
54,58.67480615659255,108.54,118.11,135.57,22.603638097075752,135.92,137.93,143.65,20.452352722061693,138.47,141.89,145.96,1157,1,6.861804133465223,-25.46098756277497,1.9259704003776448,Skagen
55,59.80919330596244,119.83,127.33,147.91,27.529819952026852,137.27,142.79,153.98,27.14235829625187,141.06,147.0,157.62,1158,1,3.639805744595048,-26.368549491966625,1.2919303133550948,Oakley
56,59.95255856800922,117.97,127.01,150.26,29.150044450492253,138.58,144.26,156.81,26.767979069562777,144.02,149.29,160.55,1159,1,8.102259435358379,-26.561850157577044,2.092142965417966,NOS 509180.09
57,58.63103989359531,115.9,124.36,144.49,30.990271647332683,142.2,148.74,162.14,24.83463773827345,146.34,152.1,158.29,1160,1,18.853718317573453,-26.05816239871252,2.936710152667882,Kvarn
58,68.78047045199233,115.5,124.69,155.44,32.11771303112324,148.17,152.96,157.08,29.312268633694952,148.76,153.8,161.24,1162,1,29.26447292171956,-26.7028464665734,3.3763742520468925,SEC 312-07-4
59,51.1849390380586,102.95,111.31,128.7,26.70714765762952,143.44,151.12,156.03,26.07927145653624,146.98,154.73,155.23,1163,1,6.947016373181395,-25.93899268529317,1.9383122685787588,Gedser
60,42.55794494499337,107.35,112.81,125.47,24.369218580667017,137.12,139.61,147.6,21.25419889679033,134.93,135.61,137.12,1164,1,54.37301170696728,-26.469503954231943,3.995867922431637,Evolution
61,51.42718008607004,115.67,123.88,142.89,29.67272711502204,146.71,152.89,161.76,26.998374271703355,149.34,154.7,157.49,1165,1,13.184335592844263,-26.626427836198676,2.5790294273974825,Sheriff
