,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
116,80.53033268549713,141.45,148.28,179.0,51.20052311709327,166.37,168.71,189.88,48.34231523830163,170.32,171.32,191.24,1226,1,49.70931267566613,-26.84903887046382,3.9061922933295614,Creator,15.91311707016246,0.2118698998133829,0.0274059780128339,-0.9393516693158466,0.3442309309694273
117,89.6472503740356,138.39,143.81,169.11,60.71199216036731,157.18,164.74,185.99,47.6651619651094,156.89,165.29,183.5,1228,1,24.636291801899084,-27.817468054665028,3.2042206322870053,Hereford ,28.700795291649545,0.4517119354464097,-0.0572929621088864,-1.685913773951838,-0.597152583218346
118,89.63322721219778,150.05,154.04,182.34,58.43022271564051,188.43,180.91,197.75,48.29860598184919,195.03,183.81,194.84,1229,1,109.49348569664404,-27.77702697928377,4.695865056132026,Sj M0498,10.8872033366904,0.2447589618288274,0.0463540992834551,-0.2165645719035351,-0.5431886728303716
119,74.38304821964972,137.44,144.44,164.4,57.98485860599966,175.8,174.99,190.48,52.26186803597814,177.18,175.01,189.69,1230,1,199.24096970049527,-26.5202706233637,5.294514995190304,Sj M0560,13.490504977871412,0.2971588841800888,-0.1309793256003815,0.3597901453580254,0.7270905180964178
120,82.20810385930892,125.64,133.36,159.27,47.25653002560894,155.71,164.9,183.1,43.13849090386917,158.61,167.92,183.0,1231,1,157.22582436421808,-26.948205575587,5.057683143629166,RGT Reform,-17.841164562084565,-0.2897584188032721,0.2841202999323572,0.1006630720001702,0.312678400879836
121,70.88050546459047,119.56,131.61,154.77,43.86709831930958,154.7,162.81,177.92,38.62809876729749,160.49,167.81,175.4,1232,1,191.1050803022599,-27.294458126254955,5.252823435415419,NOS 511167.10,-19.159728137696167,-0.3391244691374355,0.3022768390926156,0.2735081419897049,-0.0200513147814014
122,60.32331683140549,121.91,137.88,161.09,42.745618761465806,170.28,169.23,180.71,36.85130578878317,170.57,170.24,173.04,1234,1,39.84776820560049,-27.64520137058798,3.685066398789611,Tuxen,-5.881404039219982,-0.4785761630056278,0.3208207734660891,-1.3388393382295414,-0.3437488891009899
123,93.28129106334382,150.02,152.85,180.63,63.008162926830025,166.8,170.45,190.65,43.586425375497456,158.5,167.48,181.52,1235,1,175.81705969921578,-26.94748108456285,5.169444020925305,STRG 4019'14,5.544568329471199,0.1264674198612651,-0.2088515700592534,0.1232430621094353,0.3674942319308591
124,77.54769642937814,129.19,136.61,161.44,54.79031500763023,163.99,166.75,184.85,47.51310982570434,172.9,170.88,185.12,1236,1,143.78228664030328,-27.360062505684933,4.968300257173199,512102.04,-5.600860239313808,0.1007172373088726,-0.1135925904964667,-0.1001959234393883,-0.0315643541845069
125,62.38170377607125,134.74,141.99,158.85,36.551490330668216,170.19,171.78,172.61,29.61577244982719,168.84,171.03,158.1,1237,1,129.54001002568558,-27.016846744698714,4.863989791149284,Stinger,-31.51593365753404,-0.7102777484127656,0.4234539066469076,-0.2268016112600213,0.3251742418084298
126,62.65474173776283,126.33,135.02,153.21,35.407805695390394,144.42,151.85,164.76,31.593239788735875,144.08,152.9,160.83,1238,1,58.73685755501155,-27.19038051221067,4.073067426808132,Sj L024,-28.679882470489108,-0.9735032022564284,0.3960166845420302,-1.040019197397891,0.1651633093031925
127,52.28447506830862,124.12,132.51,145.99,28.660722223823534,158.47,163.42,161.08,20.60502966208813,159.08,165.46,135.62,1240,1,186.96480528536773,-26.53513382683621,5.230920392111302,RW41640,-47.67602171643345,-1.0990357919912517,0.3455197692695264,0.0732433243118437,0.8474556646910898
