Camera,tube,Depth,Date,Root.length
Cam2_,101,1914,16/05/2019,1511
Cam2_,101,1951,16/05/2019,1012
Cam2_,101,1987,16/05/2019,1698
Cam2_,101,2020,16/05/2019,1012
Cam2_,101,2056,16/05/2019,1668
Cam2_,101,2092,16/05/2019,1261
Cam2_,101,2127,16/05/2019,1167
Cam2_,101,2161,16/05/2019,1248
Cam2_,101,2197,16/05/2019,1961
Cam2_,101,2233,16/05/2019,2766
Cam2_,101,2266,16/05/2019,1154
Cam2_,101,2302,16/05/2019,419
Cam2_,101,2337,16/05/2019,705
Cam2_,101,2373,16/05/2019,1629
Cam2_,101,2408,16/05/2019,1989
Cam2_,101,2443,16/05/2019,1311
Cam2_,101,2478,16/05/2019,951
Cam2_,101,2512,16/05/2019,885
Cam2_,101,2547,16/05/2019,568
Cam2_,101,2581,16/05/2019,1111
Cam2_,101,2617,16/05/2019,973
Cam2_,101,2652,16/05/2019,536
Cam2_,101,2687,16/05/2019,1437
Cam2_,101,2722,16/05/2019,1392
Cam2_,101,2758,16/05/2019,2205
Cam2_,101,2792,16/05/2019,1431
Cam2_,101,2827,16/05/2019,1442
Cam2_,101,2862,16/05/2019,917
Cam2_,101,2897,16/05/2019,1233
Cam2_,101,2932,16/05/2019,584
Cam2_,101,2967,16/05/2019,0
Cam2_,101,3002,16/05/2019,0
Cam2_,101,3037,16/05/2019,0
Cam2_,101,3071,16/05/2019,0
Cam2_,101,3107,16/05/2019,0
Cam2_,101,3141,16/05/2019,284
Cam2_,101,3175,16/05/2019,286
Cam2_,101,3211,16/05/2019,554
Cam2_,101,3246,16/05/2019,247
Cam2_,101,3281,16/05/2019,287
Cam2_,101,3316,16/05/2019,56
Cam2_,101,3352,16/05/2019,66
Cam2_,101,3387,16/05/2019,0
Cam2_,101,3423,16/05/2019,27
Cam2_,101,3458,16/05/2019,0
Cam2_,101,3491,16/05/2019,32
Cam2_,101,3527,16/05/2019,0
Cam2_,101,3562,16/05/2019,0
Cam2_,101,3597,16/05/2019,0
Cam2_,101,3632,16/05/2019,0
Cam2_,101,3668,16/05/2019,0
Cam2_,101,3702,16/05/2019,0
Cam2_,101,3736,16/05/2019,0
Cam2_,101,3771,16/05/2019,0
Cam2_,101,3807,16/05/2019,145
Cam2_,101,3841,16/05/2019,0
Cam2_,101,3876,16/05/2019,0
Cam2_,101,3911,16/05/2019,0
Cam2_,101,3946,16/05/2019,0
Cam2_,101,3980,16/05/2019,47
Cam2_,101,4015,16/05/2019,508
Cam2_,101,4051,16/05/2019,231
Cam2_,101,4086,16/05/2019,0
Cam2_,101,4122,16/05/2019,0
Cam2_,101,4157,16/05/2019,0
Cam2_,101,4192,16/05/2019,0
Cam2_,101,4226,16/05/2019,0
Cam2_,101,4261,16/05/2019,0
Cam2_,101,4296,16/05/2019,0
Cam2_,101,4333,16/05/2019,0
Cam2_,101,4368,16/05/2019,0
Cam2_,101,4401,16/05/2019,0
Cam2_,101,4436,16/05/2019,0
Cam2_,101,4472,16/05/2019,0
Cam2_,101,4506,16/05/2019,0
Cam2_,101,4543,16/05/2019,0
Cam2_,101,4577,16/05/2019,0
Cam2_,101,4614,16/05/2019,0
Cam2_,101,4647,16/05/2019,0
Cam2_,101,4680,16/05/2019,0
Cam2_,101,4716,16/05/2019,0
Cam2_,101,4752,16/05/2019,0
Cam2_,101,4786,16/05/2019,0
Cam2_,101,4821,16/05/2019,0
Cam2_,101,4858,16/05/2019,0
Cam2_,101,4892,16/05/2019,0
Cam2_,101,4926,16/05/2019,0
Cam2_,101,4961,16/05/2019,0
Cam2_,101,5003,16/05/2019,0
Cam2_,101,515,16/05/2019,0
Cam2_,101,549,16/05/2019,0
Cam2_,101,584,16/05/2019,0
Cam2_,101,622,16/05/2019,0
Cam2_,101,654,16/05/2019,0
Cam2_,101,689,16/05/2019,36
Cam2_,101,727,16/05/2019,19
Cam2_,101,761,16/05/2019,0
Cam2_,101,795,16/05/2019,287
Cam2_,101,831,16/05/2019,1062
Cam2_,101,865,16/05/2019,1374
Cam2_,101,902,16/05/2019,106
Cam2_,101,935,16/05/2019,0
Cam2_,101,971,16/05/2019,0
Cam1_,102,1006,16/05/2019,951
Cam1_,102,1039,16/05/2019,0
Cam1_,102,1076,16/05/2019,0
Cam1_,102,1112,16/05/2019,678
Cam1_,102,1147,16/05/2019,1349
Cam1_,102,1179,16/05/2019,2112
Cam1_,102,1215,16/05/2019,320
Cam1_,102,1252,16/05/2019,2048
Cam1_,102,1287,16/05/2019,1109
Cam1_,102,1322,16/05/2019,754
Cam1_,102,1357,16/05/2019,565
Cam1_,102,1391,16/05/2019,1714
Cam1_,102,1425,16/05/2019,1722
Cam1_,102,1461,16/05/2019,1016
Cam1_,102,1496,16/05/2019,2363
Cam1_,102,1531,16/05/2019,2507
Cam1_,102,1566,16/05/2019,3278
Cam1_,102,1602,16/05/2019,1773
Cam1_,102,1636,16/05/2019,1959
Cam1_,102,1670,16/05/2019,674
Cam1_,102,1706,16/05/2019,1244
Cam1_,102,1741,16/05/2019,160
Cam1_,102,1775,16/05/2019,1278
Cam1_,102,1811,16/05/2019,1749
Cam1_,102,1846,16/05/2019,649
Cam1_,102,1882,16/05/2019,693
Cam1_,102,1916,16/05/2019,1023
Cam1_,102,1951,16/05/2019,938
Cam1_,102,1986,16/05/2019,1638
Cam1_,102,2021,16/05/2019,282
Cam1_,102,2057,16/05/2019,946
Cam1_,102,2092,16/05/2019,1148
Cam1_,102,2127,16/05/2019,1653
Cam1_,102,2160,16/05/2019,53
Cam1_,102,2197,16/05/2019,1235
Cam1_,102,2232,16/05/2019,1482
Cam1_,102,2268,16/05/2019,602
Cam1_,102,2302,16/05/2019,517
Cam1_,102,2338,16/05/2019,373
Cam1_,102,2373,16/05/2019,980
Cam1_,102,2408,16/05/2019,544
Cam1_,102,2441,16/05/2019,1120
Cam1_,102,2478,16/05/2019,904
Cam1_,102,2513,16/05/2019,959
Cam1_,102,2546,16/05/2019,179
Cam1_,102,2582,16/05/2019,800
Cam1_,102,2617,16/05/2019,1730
Cam1_,102,2652,16/05/2019,850
Cam1_,102,2686,16/05/2019,370
Cam1_,102,2723,16/05/2019,424
Cam1_,102,2757,16/05/2019,436
Cam1_,102,2791,16/05/2019,162
Cam1_,102,2827,16/05/2019,1063
Cam1_,102,2862,16/05/2019,1177
Cam1_,102,2896,16/05/2019,946
Cam1_,102,2932,16/05/2019,143
Cam1_,102,2967,16/05/2019,0
Cam1_,102,3001,16/05/2019,24
Cam1_,102,3037,16/05/2019,241
Cam1_,102,3070,16/05/2019,0
Cam1_,102,3106,16/05/2019,0
Cam1_,102,3142,16/05/2019,0
Cam1_,102,3176,16/05/2019,0
Cam1_,102,3212,16/05/2019,525
Cam1_,102,3247,16/05/2019,269
Cam1_,102,3281,16/05/2019,73
Cam1_,102,3316,16/05/2019,0
Cam1_,102,3352,16/05/2019,0
Cam1_,102,3387,16/05/2019,0
Cam1_,102,3421,16/05/2019,0
Cam1_,102,3457,16/05/2019,97
Cam1_,102,3493,16/05/2019,0
Cam1_,102,3527,16/05/2019,0
Cam1_,102,3561,16/05/2019,0
Cam1_,102,3596,16/05/2019,0
Cam1_,102,3632,16/05/2019,0
Cam1_,102,3666,16/05/2019,0
Cam1_,102,3701,16/05/2019,0
Cam1_,102,3736,16/05/2019,0
Cam1_,102,3768,16/05/2019,0
Cam1_,102,3806,16/05/2019,0
Cam1_,102,3841,16/05/2019,333
Cam1_,102,3877,16/05/2019,159
Cam1_,102,3911,16/05/2019,0
Cam1_,102,3947,16/05/2019,0
Cam1_,102,3982,16/05/2019,0
Cam1_,102,4016,16/05/2019,0
Cam1_,102,4050,16/05/2019,0
Cam1_,102,4087,16/05/2019,0
Cam1_,102,4122,16/05/2019,0
