,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N
52,94.67123383449616,152.48,146.91,166.12,108.93697087518106,220.85,177.47,191.93,75.14286990786755,182.46,168.13,192.38,1188,1,31.664637062554405,-28.149573935627707,NOS_511082.28,3.4552005081169623
54,85.64873012401476,155.64,151.36,182.09,78.06058081891274,171.2416730038023,210.3,209.04,61.512140586921504,174.18045801526708,224.94,220.64,1191,1,59.581605620708025,-28.214621126096425,513191.13,4.087346895910069
55,130.35435539567027,168.06,152.38,177.86,126.5461789082174,202.03,171.3,192.75,83.9084135228606,163.77,160.49,194.68,1192,1,6.85771409337489,-28.51457919349693,P0294,1.9253741636667232
56,91.05216363054062,157.01,147.85,172.98,85.67921190771071,196.08,172.64,195.35,61.50139672491173,155.94,160.78,196.09,1193,1,68.59505087078571,-27.573929705633084,P0694,4.228220387388549
57,101.39866997583069,165.51,155.13,180.13,103.72562786682523,217.53,180.93,197.71,80.0496430704049,204.63,180.2,196.47,1194,1,32.65859754299436,-27.830525082435422,Sj_N0024,3.486108145499513
58,97.36082262432195,170.29,154.48,166.2,85.61867572833543,293.68,195.22,204.55,63.504098215000944,208.72,177.08,198.59,1195,1,55.8263666688256,-27.810374929954374,513110.03,4.022246278731093
59,85.39133720710007,150.67,146.35,172.15,82.71490741927516,218.21,179.63,194.69,49.09135030828096,154.54,157.01,195.74,1196,1,30.98756030311828,-27.934982242287482,Gedser,3.4335858434059916
60,89.90370376240536,144.57,144.51,171.56,93.4270454887364,159.38,161.18,190.55,72.1589391989523,174.12,169.71,195.52,1198,1,12.120604042042217,-28.058224873318437,NOS_512144.05,2.4949068178516023
61,79.4257522038153,150.03,145.3,156.4,86.37956859596375,219.67,178.07,192.51,67.93748516336282,212.27,180.14,203.49,1199,1,23.477981568934823,-27.534239928670026,P1085,3.1560630274204495
62,97.52913109502488,175.05,158.96,182.94,97.91280823548804,207.51,177.9,207.92,64.47683826013406,191.54,179.09,212.32,1200,1,11.23724451461126,-28.282191253150117,RGT_Universe,2.419233664465768
63,84.71074948106673,186.1,157.09,157.3,83.84030559560938,199.82,174.11,193.44,49.04163999304613,245.88,191.35,205.93,1201,1,18.744066745014013,-27.921243419593438,WW5932_/_Sj_N1123,2.930877262072715
64,86.15127494960812,138.72,138.26,157.15,84.8978229419011,181.76,167.79,195.17,49.2158801894042,207.22,187.68,198.58,1202,1,4.7383537888768625,-26.659226483654844,513176.05,1.5556897734589918
65,101.73702377049004,144.89,146.76,174.57,85.09569032758228,238.23,181.63,189.09,64.40754071845433,175.7,162.86,187.9,1203,1,6.115276411075683,-28.35806469371279,KWS_Firefly,1.8107899702558463
66,88.39629603838047,145.75,143.48,166.76,96.3228297013134,199.45,173.29,179.73,50.72183709893466,135.76,147.04,184.01,1204,1,29.38495822961438,-27.840469795536315,Kalmar,3.3804829185769396
67,76.0928097611541,184.3,160.06,175.87,75.41558315707668,178.77,163.83,183.53,52.96013142806278,175.35,165.6,183.9,1205,1,19.93465373599243,-27.892429155191273,RW_41667,2.9924596110307173
68,100.96975367900922,169.92,156.74,173.54,85.16023558879574,216.99,181.14,192.76,69.20492843843952,198.77,179.45,197.94,1206,1,28.138747088831728,-27.370347783066006,P0598,3.337147526488605
